77,1,1,0,0,0,4,4,19.2,9.15,3.2,1.37,3.66
78,0,1,0,0,0,5,1,7.2,5.87,7.04,1.17,8.22
79,4,1,0,3,2,29,0,39.1,6.18,5.49,1.6,3.89
80,0,0,0,0,0,2,0,2.1,0.0,11.57,3.86,34.71
81,4,2,0,8,1,26,0,23.0,9.78,5.09,0.39,3.91
82,6,9,5,3,3,54,11,109.0,8.17,4.13,0.66,5.04
83,0,5,0,0,0,10,7,29.1,8.59,9.51,2.15,7.98
84,7,5,0,24,3,61,0,58.0,7.6,3.1,0.16,3.41
85,1,0,0,0,0,6,4,23.0,8.22,1.57,0.0,3.13
86,0,0,0,0,0,9,0,8.1,7.56,4.32,2.16,5.4
87,0,0,0,0,0,1,0,2.0,4.5,0.0,4.5,13.5
88,2,1,0,3,2,18,0,16.1,7.16,4.96,1.1,4.96
89,4,3,9,2,4,53,0,52.2,7.52,3.25,0.51,3.93
90,3,3,0,0,0,12,5,30.1,7.71,4.15,1.48,7.42
91,2,4,0,2,0,23,11,67.2,5.05,3.19,0.93,6.25
92,8,8,0,0,0,21,21,107.2,9.2,3.43,1.09,3.26
93,2,7,0,0,0,17,15,64.2,5.71,6.12,1.25,6.82
94,2,0,0,4,0,38,0,38.2,7.22,6.28,1.16,8.61
95,3,2,1,9,1,50,1,35.2,6.56,4.79,0.76,5.55
96,0,0,0,0,0,3,0,2.0,4.5,13.5,0.0,4.5
97,0,0,0,0,0,23,0,21.2,8.72,4.57,0.83,3.32
98,3,6,0,0,0,19,16,79.1,5.56,7.37,1.25,5.56
99,5,3,36,3,1,61,0,59.0,9.76,3.97,0.15,1.98
100,0,0,0,0,0,2,0,2.0,0.0,0.0,0.0,4.5
101,0,2,0,0,0,7,1,10.0,4.5,7.2,0.9,6.3
102,9,3,0,10,2,61,4,94.0,8.9,3.45,0.77,3.83
103,6,8,0,0,0,26,22,119.1,7.77,2.04,1.06,5.43
104,3,2,0,0,0,8,8,36.2,8.35,2.7,0.25,4.66
105,6,4,0,0,0,15,15,81.1,7.75,3.32,0.77,5.86
106,0,1,0,4,1,35,0,18.0,8.5,8.5,2.0,5.5
107,11,8,0,1,0,27,21,137.0,7.62,2.69,1.12,3.88
108,0,0,0,0,0,8,0,5.2,3.18,6.35,0.0,9.53
109,2,3,0,14,2,66,0,43.2,7.63,2.68,1.44,7.21
110,10,12,0,1,0,32,30,194.1,8.2,1.67,0.74,4.03
111,1,2,1,4,0,34,3,54.1,6.29,2.65,0.17,2.65
112,0,0,0,0,0,1,0,2.0,0.0,4.5,0.0,0.0
113,10,6,0,0,0,24,24,144.0,6.12,1.62,1.06,4.38
114,2,11,0,0,0,31,21,114.0,6.47,4.26,1.26,5.76
115,0,0,0,0,0,3,0,2.0,9.0,13.5,0.0,4.5
116,6,2,0,3,1,39,14,93.0,7.55,5.23,0.87,5.81
117,0,1,0,0,0,1,1,0.1,27.0,81.0,0.0,81.0
118,0,0,0,0,0,10,0,6.1,7.11,8.53,1.42,7.11
119,0,0,0,0,0,4,0,4.2,3.86,1.93,0.0,0.0
120,4,6,0,0,0,17,17,91.2,5.5,3.73,0.88,4.52
121,8,5,0,8,2,66,1,97.2,7.1,4.15,0.92,4.98
122,2,0,1,7,1,42,0,42.0,7.5,4.71,1.5,5.79
123,0,0,0,0,0,3,0,4.0,9.0,6.75,4.5,11.25
124,2,6,25,4,6,62,0,72.2,9.41,3.22,0.74,2.97
125,8,13,0,0,0,28,28,140.0,6.69,5.85,1.09,5.66
126,0,0,0,0,0,2,0,0.2,13.5,27.0,0.0,0.0
127,0,0,0,0,0,4,0,3.1,8.1,16.2,0.0,5.4
128,4,7,0,0,0,27,23,111.0,5.68,5.03,1.54,6.81
129,0,2,0,0,0,8,2,5.2,7.94,25.41,1.59,27.0
130,3,6,0,0,0,16,12,59.0,4.42,3.97,1.83,7.17
131,0,0,0,0,0,4,0,4.0,9.0,18.0,9.0,29.25
132,2,3,4,1,1,28,0,31.0,5.23,6.1,1.16,6.68
133,1,0,1,3,0,39,0,47.1,8.37,5.51,0.95,4.37
134,3,12,6,3,4,40,7,75.1,8.0,5.14,0.84,6.33
135,6,5,0,21,6,67,0,74.0,9.24,4.14,0.73,4.62
136,1,0,0,0,0,4,4,14.1,5.65,1.26,1.26,3.77
137,10,4,0,0,0,17,17,116.0,8.53,1.16,0.62,2.02
138,0,0,0,0,0,2,0,2.1,11.57,27.0,3.86,23.14
139,11,7,0,0,0,30,28,169.0,5.59,2.61,1.17,4.79
140,3,4,0,13,2,53,0,41.1,5.66,2.61,0.65,3.92
141,0,5,1,4,2,47,0,48.1,5.77,3.17,0.74,4.66
142,10,12,0,0,0,31,31,165.2,8.96,3.64,0.65,4.07
143,1,0,0,0,0,15,0,8.1,4.32,15.12,1.08,10.8
144,3,2,0,25,3,72,0,64.2,8.77,1.67,1.53,3.76
145,2,3,0,1,0,42,2,61.2,8.32,4.23,0.88,5.4
146,2,1,0,2,0,11,0,15.0,6.0,3.0,1.8,4.8
147,1,2,0,0,0,8,8,43.0,9.0,4.4,0.84,3.56
148,8,7,0,2,0,36,18,119.0,7.03,3.33,1.44,5.22
149,0,1,0,0,0,3,2,6.1,8.53,9.95,4.26,14.21
150,2,3,0,0,1,26,0,31.1,5.74,6.89,1.72,8.04
151,1,5,1,8,1,52,6,73.1,7.0,4.91,0.98,6.75
152,1,2,1,7,1,46,1,51.0,7.76,1.24,1.41,5.12
153,0,1,1,11,2,34,0,25.2,6.31,1.75,0.0,1.75
154,1,1,0,0,0,4,2,12.2,6.39,0.0,1.42,2.84
155,3,10,0,0,0,25,24,134.0,5.84,3.49,1.21,6.18
156,3,1,0,5,3,39,2,45.1,7.54,2.38,0.4,4.37
157,0,0,0,0,0,12,0,14.0,8.36,9.64,1.93,9.0
158,11,4,2,4,1,52,11,108.0,7.0,3.08,1.08,5.0
159,1,2,0,0,0,12,9,45.2,7.29,4.14,1.38,6.9
160,5,9,0,2,0,26,20,122.1,6.03,2.72,1.18,4.56
161,0,3,0,5,1,42,1,41.2,5.62,5.83,0.22,6.05
162,2,6,1,9,0,63,0,60.0,5.4,3.6,0.9,5.25
163,4,4,0,0,0,20,16,97.2,6.17,4.05,0.46,3.69
164,9,3,0,0,2,36,12,87.2,7.39,4.0,1.23,3.7
165,0,0,0,0,0,1,1,2.0,9.0,9.0,4.5,18.0
166,2,5,0,0,0,11,11,52.0,9.52,6.58,0.52,5.37
167,1,3,0,2,0,28,0,32.1,8.07,4.18,0.84,4.45
168,5,5,0,0,0,13,13,64.0,7.17,3.94,1.12,5.34
169,0,1,0,0,0,5,0,2.2,6.75,10.12,0.0,10.12
170,0,1,0,0,0,2,1,2.1,7.71,15.43,3.86,19.29
171,1,1,1,3,0,32,0,33.0,7.09,3.55,0.82,4.09
172,4,6,6,7,5,60,0,68.0,6.35,3.97,1.19,3.97
173,0,0,0,0,0,5,0,2.2,3.38,6.75,0.0,10.12
174,0,0,0,0,0,5,0,6.1,7.11,4.26,0.0,0.0
175,0,0,0,1,0,12,0,18.0,5.5,2.5,2.0,3.5
176,0,0,0,0,0,6,0,6.1,5.68,7.11,0.0,4.26
177,3,1,0,1,0,37,2,52.2,5.98,2.05,1.54,4.96
178,3,1,1,2,0,47,0,43.1,10.8,2.49,1.45,3.95
179,0,0,0,0,0,8,0,15.2,4.6,6.32,0.57,4.02
180,6,15,0,0,0,30,30,162.0,6.22,5.0,1.06,6.17
181,2,1,2,6,1,50,0,38.2,10.71,2.33,1.4,4.19
182,5,4,0,0,0,13,13,83.0,7.05,1.73,0.76,3.8
183,0,1,0,0,0,2,1,3.1,10.8,0.0,8.1,29.7
184,3,2,10,3,2,40,0,50.2,8.53,3.73,0.53,2.66
185,4,4,0,10,6,53,0,51.1,9.99,5.44,1.05,4.38
186,0,2,0,0,1,16,0,15.1,8.8,5.87,2.35,6.46
187,0,0,0,0,0,16,0,32.2,6.61,2.76,1.93,7.99
188,6,5,0,0,0,12,12,62.0,6.68,6.1,0.87,3.77
189,0,2,0,1,0,16,0,19.0,9.0,6.63,0.95,4.74
190,4,7,0,0,0,21,21,98.2,8.76,7.21,0.64,4.1
191,3,7,0,0,0,17,17,90.0,6.9,5.2,1.0,5.0
192,0,0,0,0,0,3,0,2.1,3.86,0.0,0.0,3.86
193,0,0,0,0,0,2,0,0.2,0.0,13.5,0.0,27.0
