,년도,팀명,선수명,선수id,WAR,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA
244,2015,kt,김영환,/player/detail/501,-0.36,37,49,48,11,1,4,7,1,11,1,0.278,0.229,0.245,0.292,0.537,0.238
245,2015,SK,김강민,/player/detail/571,-0.38,96,328,293,72,4,43,31,23,83,7,0.329,0.246,0.315,0.345,0.660,0.298
246,2015,삼성,이흥련,/player/detail/483,-0.39,71,108,105,25,1,16,17,1,22,2,0.293,0.238,0.252,0.333,0.585,0.254
247,2015,KIA,이성우,/player/detail/119,-0.39,79,134,117,26,1,8,16,9,20,0,0.253,0.222,0.271,0.316,0.587,0.258
248,2015,삼성,김재현,/player/detail/954,-0.39,73,48,41,7,0,7,5,5,11,0,0.233,0.171,0.261,0.171,0.432,0.220
249,2015,KIA,윤완주,/player/detail/129,-0.39,28,38,35,6,1,4,2,0,8,0,0.185,0.171,0.189,0.286,0.475,0.201
250,2015,두산,루츠,/player/detail/1303,-0.41,8,30,27,3,1,2,3,2,6,0,0.100,0.111,0.172,0.222,0.394,0.180
251,2015,SK,안정광,/player/detail/567,-0.41,10,19,19,2,0,0,1,0,7,0,0.167,0.105,0.105,0.105,0.210,0.095
252,2015,KIA,김주형,/player/detail/124,-0.43,45,88,83,19,2,2,3,3,22,0,0.288,0.229,0.273,0.337,0.610,0.270
253,2015,LG,김용의,/player/detail/314,-0.46,71,199,171,43,0,30,15,22,38,11,0.323,0.251,0.347,0.292,0.639,0.302
254,2015,SK,임훈,/player/detail/573,-0.46,33,81,69,15,0,10,9,7,13,1,0.263,0.217,0.304,0.232,0.536,0.261
255,2015,넥센,이성열,/player/detail/236,-0.47,4,14,13,3,0,1,1,1,4,0,0.333,0.231,0.286,0.231,0.517,0.247
256,2015,kt,김민혁,/player/detail/1291,-0.48,82,179,156,43,0,21,10,14,30,12,0.341,0.276,0.343,0.327,0.670,0.308
257,2015,kt,김사연,/player/detail/252,-0.50,72,248,228,58,7,31,27,16,75,15,0.349,0.254,0.306,0.386,0.692,0.303
258,2015,두산,정진호,/player/detail/707,-0.50,77,172,154,36,4,37,18,14,24,6,0.254,0.234,0.302,0.383,0.685,0.300
259,2015,KIA,이은총,/player/detail/1333,-0.50,11,38,35,6,0,3,3,1,7,0,0.214,0.171,0.216,0.200,0.416,0.195
260,2015,두산,장민석,/player/detail/233,-0.51,53,63,53,10,0,15,4,7,13,0,0.244,0.189,0.290,0.226,0.516,0.253
261,2015,롯데,임재철,/player/detail/666,-0.51,38,63,52,8,1,6,3,7,16,2,0.200,0.154,0.267,0.250,0.517,0.248
262,2015,LG,문선재,/player/detail/316,-0.53,103,245,212,48,5,27,27,23,54,9,0.279,0.226,0.310,0.368,0.678,0.303
263,2015,kt,신명철,/player/detail/457,-0.53,89,168,134,28,2,12,18,27,37,1,0.271,0.209,0.340,0.299,0.639,0.299
264,2015,kt,김태훈,/player/detail/1285,-0.53,22,44,43,9,1,3,2,0,16,0,0.296,0.209,0.205,0.302,0.507,0.214
265,2015,삼성,우동균,/player/detail/474,-0.55,37,82,72,15,0,12,6,9,12,0,0.250,0.208,0.296,0.264,0.560,0.267
266,2015,LG,최승준,/player/detail/313,-0.56,8,31,26,2,0,0,1,4,7,0,0.100,0.077,0.194,0.077,0.271,0.156
267,2015,KIA,김다원,/player/detail/183,-0.59,108,274,245,60,5,31,30,15,67,1,0.314,0.245,0.318,0.343,0.661,0.299
268,2015,KIA,이호신,/player/detail/138,-0.59,54,62,50,7,0,9,3,6,16,3,0.200,0.140,0.254,0.160,0.414,0.214
269,2015,넥센,김지수,/player/detail/228,-0.61,104,151,132,31,0,23,13,9,27,2,0.292,0.235,0.292,0.288,0.580,0.267
270,2015,롯데,김대륙,/player/detail/1323,-0.62,71,63,54,8,0,6,1,7,17,0,0.216,0.148,0.246,0.148,0.394,0.206
271,2015,SK,박윤,/player/detail/563,-0.62,17,29,27,3,0,1,0,0,13,0,0.214,0.111,0.143,0.111,0.254,0.123
272,2015,LG,정의윤,/player/detail/326,-0.63,32,75,66,17,0,3,7,6,19,2,0.354,0.258,0.333,0.303,0.636,0.297
273,2015,삼성,박찬도,/player/detail/479,-0.64,116,106,89,19,0,32,9,8,25,13,0.297,0.213,0.307,0.258,0.565,0.269
274,2015,롯데,하준호,/player/detail/786,-0.65,12,30,30,5,1,3,1,0,14,0,0.267,0.167,0.167,0.300,0.467,0.194
275,2015,한화,고동진,/player/detail/43,-0.66,27,70,59,10,0,5,7,2,13,0,0.217,0.169,0.246,0.237,0.483,0.226
276,2015,KIA,고장혁,/player/detail/149,-0.66,82,57,52,8,1,17,4,4,15,7,0.194,0.154,0.214,0.250,0.464,0.212
277,2015,삼성,최선호,/player/detail/1352,-0.72,33,44,42,7,0,8,1,0,13,2,0.241,0.167,0.167,0.190,0.357,0.158
278,2015,KIA,오준혁,/player/detail/91,-0.73,31,85,79,17,2,11,10,2,21,1,0.259,0.215,0.238,0.316,0.554,0.240
279,2015,LG,이병규(9),/player/detail/322,-0.78,54,102,96,21,1,3,9,5,18,0,0.256,0.219,0.255,0.323,0.578,0.254
280,2015,kt,문상철,/player/detail/1287,-0.78,51,88,80,13,2,10,6,7,32,0,0.239,0.163,0.230,0.275,0.505,0.229
281,2015,NC,노진혁,/player/detail/829,-0.78,65,42,38,3,0,4,2,2,11,0,0.107,0.079,0.122,0.132,0.254,0.118
282,2015,롯데,손용석,/player/detail/747,-0.81,38,74,69,15,0,4,2,1,11,0,0.259,0.217,0.229,0.246,0.475,0.213
283,2015,롯데,문규현,/player/detail/746,-0.87,105,298,265,65,2,24,25,14,39,4,0.278,0.245,0.283,0.321,0.604,0.269
284,2015,두산,최재훈,/player/detail/648,-0.99,71,114,99,15,0,6,7,3,19,0,0.185,0.152,0.234,0.182,0.416,0.203
285,2015,롯데,김대우,/player/detail/761,-1.02,39,100,92,16,3,9,9,5,39,3,0.260,0.174,0.224,0.304,0.528,0.232
286,2015,KIA,최용규,/player/detail/1175,-1.03,69,200,182,41,2,23,18,14,43,10,0.281,0.225,0.281,0.313,0.594,0.264
287,2015,LG,손주인,/player/detail/311,-1.04,98,279,244,60,0,27,14,20,41,3,0.294,0.246,0.307,0.283,0.590,0.275
288,2015,kt,김진곤,/player/detail/1293,-1.12,67,87,85,18,0,11,6,0,20,4,0.277,0.212,0.221,0.224,0.445,0.201
289,2015,LG,양석환,/player/detail/911,-1.13,125,384,358,93,8,36,48,18,75,6,0.306,0.260,0.293,0.394,0.687,0.295
290,2015,kt,배병옥,/player/detail/914,-1.23,66,68,65,6,1,8,2,1,23,3,0.122,0.092,0.119,0.154,0.273,0.122
291,2015,KIA,박찬호,/player/detail/897,-1.24,69,150,137,25,0,13,6,9,37,3,0.250,0.182,0.233,0.234,0.467,0.215
292,2015,한화,정범모,/player/detail/23,-1.28,51,114,96,13,0,3,10,9,23,1,0.176,0.135,0.215,0.156,0.371,0.186
293,2015,한화,주현상,/player/detail/1313,-1.29,102,246,214,45,0,18,12,21,46,2,0.265,0.210,0.288,0.243,0.531,0.254
294,2015,LG,박지규,/player/detail/1319,-1.38,102,189,171,35,0,22,12,10,49,5,0.285,0.205,0.259,0.263,0.522,0.239
295,2015,KIA,김호령,/player/detail/1332,-1.41,103,283,257,56,1,31,21,15,83,11,0.318,0.218,0.274,0.284,0.558,0.255
296,2015,한화,송주호,/player/detail/847,-1.43,121,156,140,28,1,18,9,7,36,6,0.262,0.200,0.243,0.264,0.507,0.231
297,2015,한화,권용관,/player/detail/308,-1.62,116,341,296,65,5,32,22,18,86,3,0.291,0.220,0.284,0.304,0.588,0.265
298,2015,kt,심우준,/player/detail/1288,-1.71,106,146,142,24,1,16,14,2,35,5,0.217,0.169,0.181,0.239,0.420,0.183
299,2015,SK,박계현,/player/detail/592,-1.84,97,302,264,61,0,27,21,20,45,10,0.277,0.231,0.294,0.239,0.533,0.255
300,2015,KIA,강한울,/player/detail/891,-2.04,90,292,264,54,0,30,12,13,51,9,0.254,0.205,0.250,0.258,0.508,0.231
301,2015,롯데,박종윤,/player/detail/745,-2.16,98,326,314,80,4,29,28,7,38,0,0.278,0.255,0.277,0.347,0.624,0.269
302,2015,삼성,박계범,/player/detail/904,-,3,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-
303,2015,롯데,이정민,/player/detail/712,-,1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-
304,2015,NC,마낙길,/player/detail/835,-,1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-
305,2015,롯데,이창진,/player/detail/950,-,1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-
306,2015,롯데,박세웅,/player/detail/1266,-,1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-
307,2015,KIA,문경찬,/player/detail/1329,-,1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-
308,2016,삼성,최형우,/player/detail/471,8.93,138,618,519,195,31,99,144,83,83,2,0.398,0.376,0.464,0.651,1.115,0.469
309,2016,한화,김태균,/player/detail/25,7.57,144,652,529,193,23,94,136,108,97,1,0.410,0.365,0.475,0.569,1.044,0.452
310,2016,NC,테임즈,/player/detail/861,6.38,123,529,436,140,40,118,121,74,103,13,0.333,0.321,0.427,0.679,1.106,0.453
311,2016,SK,최정,/player/detail/560,6.30,141,606,500,144,40,106,106,77,126,1,0.306,0.288,0.403,0.580,0.983,0.416
312,2016,두산,김재환*,/player/detail/675,5.92,134,568,492,160,37,107,124,71,107,8,0.348,0.325,0.407,0.628,1.035,0.432
313,2016,롯데,강민호,/player/detail/738,5.75,116,460,381,123,20,65,72,66,91,4,0.377,0.323,0.433,0.549,0.982,0.424
314,2016,NC,박석민,/player/detail/461,5.27,126,506,427,131,32,77,104,56,95,2,0.326,0.307,0.404,0.578,0.982,0.417
315,2016,롯데,손아섭,/player/detail/760,5.21,144,672,575,186,16,118,81,92,104,42,0.372,0.323,0.418,0.468,0.886,0.397
316,2016,롯데,황재균,/player/detail/748,5.20,127,559,498,167,27,97,113,49,66,25,0.339,0.335,0.394,0.570,0.964,0.407
317,2016,KIA,이범호,/player/detail/122,4.96,138,560,484,150,33,93,108,59,57,1,0.292,0.310,0.391,0.562,0.953,0.402
318,2016,KIA,나지완,/player/detail/139,4.93,118,486,380,117,25,84,90,85,90,6,0.342,0.308,0.451,0.571,1.022,0.442
319,2016,두산,양의지,/player/detail/647,4.69,108,392,332,106,22,66,66,40,29,2,0.293,0.319,0.405,0.569,0.974,0.414
320,2016,kt,박경수,/player/detail/370,4.44,121,476,402,126,20,64,80,65,80,3,0.346,0.313,0.412,0.522,0.934,0.406
321,2016,한화,이용규,/player/detail/135,4.35,113,530,452,159,3,98,41,63,29,21,0.371,0.352,0.438,0.427,0.865,0.398
322,2016,삼성,구자욱,/player/detail/517,4.26,108,495,428,147,14,105,77,55,68,10,0.379,0.343,0.420,0.547,0.967,0.421
323,2016,두산,박건우,/player/detail/672,4.21,132,540,484,162,20,95,83,38,86,17,0.371,0.335,0.390,0.550,0.940,0.403
324,2016,두산,민병헌,/player/detail/670,4.15,134,579,511,166,16,98,87,48,91,9,0.368,0.325,0.396,0.495,0.891,0.391
325,2016,넥센,서건창,/player/detail/227,4.13,140,646,560,182,7,111,63,69,58,26,0.351,0.325,0.406,0.441,0.847,0.382
326,2016,두산,오재일,/player/detail/662,4.10,105,455,380,120,27,69,92,64,73,1,0.324,0.316,0.411,0.592,1.003,0.423
327,2016,KIA,김주찬,/player/detail/132,3.95,130,555,511,177,23,97,101,30,68,9,0.362,0.346,0.386,0.566,0.952,0.405
328,2016,한화,정근우,/player/detail/559,3.88,138,650,575,178,18,121,88,60,58,22,0.317,0.310,0.381,0.464,0.845,0.372
329,2016,NC,박민우,/player/detail/830,3.82,121,515,435,149,3,84,55,55,70,20,0.396,0.343,0.420,0.428,0.848,0.386
330,2016,두산,에반스,/player/detail/1380,3.69,118,481,400,123,24,69,81,69,90,0,0.338,0.308,0.410,0.565,0.975,0.416
331,2016,NC,나성범,/player/detail/836,3.68,144,653,572,177,22,116,113,67,136,7,0.371,0.309,0.388,0.497,0.885,0.386
332,2016,LG,오지환,/player/detail/315,3.68,121,472,393,110,20,73,78,65,97,17,0.320,0.280,0.387,0.494,0.881,0.386
333,2016,LG,히메네스,/player/detail/1349,3.59,135,579,523,161,26,101,102,39,67,18,0.310,0.308,0.364,0.526,0.890,0.379
334,2016,KIA,서동욱,/player/detail/312,3.34,124,485,411,120,16,73,67,60,108,9,0.359,0.292,0.386,0.496,0.882,0.385
335,2016,넥센,김민성,/player/detail/226,3.21,141,579,510,156,17,76,90,53,89,6,0.334,0.306,0.367,0.502,0.869,0.372
336,2016,한화,로사리오,/player/detail/1387,3.17,127,532,492,158,33,78,120,33,90,1,0.337,0.321,0.367,0.593,0.960,0.401
337,2016,두산,김재호,/player/detail/657,3.14,137,496,416,129,7,69,78,57,52,8,0.330,0.310,0.389,0.440,0.829,0.369
338,2016,넥센,윤석민,/player/detail/656,3.12,92,402,341,114,19,72,80,48,50,2,0.342,0.334,0.420,0.545,0.965,0.415
339,2016,한화,송광민,/player/detail/844,3.12,116,494,449,146,17,80,83,28,86,3,0.366,0.325,0.366,0.508,0.874,0.376
340,2016,넥센,김하성,/player/detail/903,3.06,144,599,526,148,20,92,84,60,80,28,0.297,0.281,0.358,0.477,0.835,0.363
341,2016,kt,유한준,/player/detail/237,3.05,110,460,408,137,14,70,64,47,40,4,0.345,0.336,0.404,0.493,0.897,0.394
342,2016,넥센,대니돈,/player/detail/1385,2.86,129,497,417,123,16,65,70,70,72,1,0.321,0.295,0.399,0.494,0.893,0.389
343,2016,NC,손시헌,/player/detail/653,2.78,110,403,341,104,5,36,39,38,48,1,0.343,0.305,0.394,0.422,0.816,0.372
344,2016,삼성,이승엽,/player/detail/456,2.67,142,623,542,164,27,91,118,66,89,5,0.316,0.303,0.380,0.518,0.898,0.387
345,2016,LG,박용택,/player/detail/324,2.44,138,578,509,176,11,84,90,58,71,6,0.380,0.346,0.412,0.458,0.870,0.386
346,2016,kt,마르테,/player/detail/1286,2.32,91,381,325,86,22,52,74,50,51,0,0.249,0.265,0.360,0.517,0.877,0.374
