,5,6,7,8,9,10,11,12,13,14,15,18
0,1,8,2,12,3,55,0,46.1,8.55,3.3,0.78,5.44
1,3,3,31,0,10,60,0,60.0,8.85,2.55,0.6,3.9
2,0,1,1,11,0,51,0,53.1,7.93,5.57,0.84,3.54
3,1,0,0,8,1,71,0,42.1,7.44,2.55,0.43,3.4
4,8,2,35,1,4,65,0,71.0,9.51,3.8,0.51,1.52
5,6,2,3,12,3,66,0,95.1,7.27,3.96,0.47,3.87
6,4,5,0,6,1,57,4,90.1,8.47,2.79,1.39,4.38
7,6,1,1,15,1,76,0,96.0,8.62,3.66,0.75,3.09
8,3,2,0,16,2,59,0,51.1,10.17,5.61,1.4,5.08
9,7,5,1,16,3,69,0,54.2,10.7,4.28,1.65,6.09
10,5,1,2,8,3,55,0,56.0,7.23,3.7,1.12,3.54
11,6,0,0,11,1,67,0,66.0,5.05,2.59,1.09,5.05
12,3,3,0,9,0,59,0,65.0,6.23,4.98,0.83,5.95
13,7,6,0,24,4,64,0,61.0,7.97,2.07,0.89,4.28
14,3,2,1,9,1,50,1,35.2,6.56,4.79,0.76,5.55
15,4,3,26,0,4,57,0,58.1,7.41,2.47,0.62,1.54
16,4,6,1,16,3,56,0,65.1,5.23,2.76,0.28,3.72
17,5,0,0,7,0,55,0,51.0,7.41,4.41,0.53,1.59
18,2,2,3,13,5,61,0,52.0,6.06,2.42,0.87,4.5
19,4,3,29,0,6,60,0,66.0,8.45,3.14,1.36,3.68
20,1,6,0,10,5,55,1,66.2,8.64,1.76,1.08,5.8
21,7,1,6,11,5,50,0,51.2,7.66,1.22,0.52,1.57
22,2,1,0,6,0,59,5,59.0,5.19,3.05,0.76,5.64
23,6,5,0,19,3,68,0,62.1,9.38,4.48,0.72,4.33
24,2,1,1,6,0,56,0,45.0,8.4,3.2,1.4,5.4
25,2,1,0,4,0,53,0,56.0,7.23,2.57,1.29,5.46
26,4,2,11,15,6,66,0,64.1,7.27,4.62,0.14,3.22
27,7,1,0,14,2,60,0,51.1,8.59,4.73,0.88,4.91
28,3,3,3,7,2,55,0,58.2,7.06,2.45,0.15,3.07
29,3,0,21,3,7,50,0,51.2,7.14,4.35,0.35,2.09
30,4,4,0,10,6,53,0,51.1,9.99,5.44,1.05,4.38
31,6,2,6,18,3,55,0,52.2,9.91,2.91,1.54,5.47
32,3,4,5,12,4,59,0,66.0,9.55,2.45,1.91,4.5
33,5,2,0,10,3,59,0,63.0,7.29,1.14,1.14,2.86
34,5,5,4,11,4,60,0,59.1,8.34,3.03,0.61,4.4
35,3,3,3,17,3,54,0,70.2,9.55,2.29,0.51,3.18
36,3,2,0,4,2,50,0,45.1,7.54,3.77,2.58,7.15
37,4,2,0,9,0,69,0,60.0,9.3,3.15,0.45,2.1
38,7,5,9,3,6,65,0,67.1,8.29,5.75,1.2,3.34
39,1,5,1,11,1,53,1,64.1,7.55,3.78,1.82,6.85
40,4,3,6,4,1,70,0,66.0,7.77,2.18,0.55,3.95
41,3,6,0,22,0,68,0,80.0,7.76,2.14,0.45,4.39
42,2,5,16,7,3,61,0,54.2,7.9,5.6,0.99,3.46
